RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
796,   box,n,49667,0.95
383,   boy,n,107447,0.93
3407,   boyfriend,n,8755,0.94
1193,   brain,n,32852,0.95
4746,   brake,n,5522,0.91
1821,   branch,n,19633,0.96
2593,   brand,n,13103,0.93
4909,   brave,j,5061,0.94
2131,   bread,n,16686,0.94
495,   break,v,79310,0.97
1077,   break,n,40348,0.86
2402,   breakfast,n,14397,0.93
1661,   breast,n,22362,0.94
1637,   breath,n,24668,0.87
2284,   breathe,v,15813,0.91
4559,   breathing,n,5798,0.92
4329,   breeze,n,6423,0.89
3343,   brick,n,9069,0.93
4931,   bride,n,5613,0.85
1698,   bridge,n,21497,0.95
2165,   brief,j,15770,0.96
3028,   briefly,r,10125,0.97
1315,   bright,j,29780,0.93
3186,   brilliant,j,9493,0.96
216,   bring,v,174366,0.98
1187,   British,j,32929,0.95
1411,   broad,j,27191,0.94
3653,   broadcast,n,8130,0.91
4853,   broadcast,v,5138,0.95
2717,   broken,j,12097,0.94
4114,   broker,n,6929,0.9
4979,   bronze,n,5118,0.92
615,   brother,n,63406,0.95
1782,   brown,j,21175,0.92
3251,   brush,v,9806,0.9
3449,   brush,n,8821,0.92
4752,   brutal,j,5193,0.97
4144,   bubble,n,6570,0.94
2515,   buck,n,13693,0.92
4868,   bucket,n,5233,0.92
4146,   buddy,n,6554,0.94
1058,   budget,n,39165,0.91
4201,   bug,n,6541,0.92
409,   build,v,96651,0.96
4603,   builder,n,5720,0.92
502,   building,n,78487,0.97
4952,   bulb,n,5157,0.92
4713,   bulk,n,5324,0.95
4250,   bull,n,6346,0.93
2764,   bullet,n,11706,0.95
2684,   bunch,n,12225,0.95
2688,   burden,n,12054,0.96
4323,   bureau,n,6199,0.93
1429,   burn,v,26646,0.95
4080,   burning,j,6665,0.95
3594,   burst,v,8393,0.91
2420,   bury,v,14030,0.95
1463,   bus,n,25850,0.95
4244,   bush,n,6307,0.94
247,   business,n,154468,0.95
3880,   businessman,n,7190,0.94
1939,   busy,j,18500,0.95
23,   but,c,1776767,0.97
1715,   but,i,20961,0.97
4710,   butt,n,5490,0.93
2424,   butter,n,14780,0.9
4978,   butterfly,n,5031,0.94
2668,   button,n,12552,0.93
398,   buy,v,101105,0.95
2976,   buyer,n,10953,0.92
30,   by,i,1490548,0.96
1190,   by,r,32560,0.96
4261,   cab,n,6561,0.9
3178,   cabin,n,9955,0.92
2716,   cabinet,n,11846,0.96
2017,   cable,n,18277,0.93
4185,   cage,n,6621,0.92
2563,   cake,n,13336,0.92
3064,   calculate,v,10485,0.92
4695,   calculation,n,5577,0.92
4742,   calendar,n,5258,0.96
122,   call,v,308050,0.97
645,   call,n,59543,0.96
4228,   calm,v,6484,0.92
4778,   calm,j,5309,0.94
952,   camera,n,41218,0.95
1192,   camp,n,32659,0.95
641,   campaign,n,64172,0.9
2074,   campus,n,17541,0.93
37,   can,v,1022775,0.98
2973,   can,n,10718,0.94
2661,   Canadian,j,12820,0.91
3951,   cancel,v,6932,0.95
1032,   cancer,n,39407,0.93
960,   candidate,n,43251,0.9
3965,   candle,n,7204,0.91
3477,   candy,n,8633,0.93
3767,   canvas,n,7795,0.91
2326,   cap,n,14672,0.95
2983,   capability,n,10906,0.92
2414,   capable,j,13933,0.96
1790,   capacity,n,21102,0.92
1064,   capital,n,37443,0.95
3375,   captain,n,9087,0.92
1727,   capture,v,21018,0.96
290,   car,n,133571,0.94
3869,   carbohydrate,n,8057,0.85
3029,   carbon,n,10799,0.9
895,   card,n,43605,0.96
435,   care,n,88862,0.96
910,   care,v,42978,0.96
741,   career,n,52101,0.95
1967,   careful,j,17885,0.97
1612,   carefully,r,22837,0.95
4958,   cargo,n,4991,0.95
4142,   carpet,n,6658,0.93
3298,   carrier,n,9251,0.94
4650,   carrot,n,5718,0.91
